sample_id,transcript,callsign,heading,flight_level,command,speaker,event,traffic_callsign
0,PRAGA RADAR HELLO AEROFLOT TWO EIGHT FIVE APPROACHING TUSIN FLIGHT LEVEL TWO FOUR ZERO,RADARHELLOAEROFLOT285,,240.0,,unknown,,
1,THREE TWO ZERO SIX FIVE TURKISH ONE FIVE TWO SEVEN,TURKISH1527,,,,unknown,,
2,ROGER,,,,,pilot,,
3,WITH YOU WE GOT THE INFORMATION ROMEO ON BOARD,,,,,pilot,,
4,LUFTHANSA,,,,,unknown,,
5,ONE THREE FOUR DECIMAL FOUR SEVEN FIVE SUNTURK EIGHT FOUR FOUR THANK YOU,DECIMAL475,,,,unknown,,
6,HOTEL ECHO XRAY DOWNWIND TWO FIVE FOR TOUCH AND GO,ECHOXRAYDOWNWIND25,,,land,controller,,
7,CSA FIVE THREE SIX REACHING,CSA536,,,,controller,,
8,ZERO TO GOSEK,,,,,unknown,,
9,ZULU ONE FOUR ONE TRANSITION CLIMB INITIALLY FIVE THOUSAND FEET SQUAWK TWO SEVEN SIX ZERO,THOUSANDFEETSQUAWK2760,,,climb,controller,,
10,TWO ZERO ZERO KNOTS OR LESS ONE SEVEN EIGHT TWO,KNOTSORLESS1782,,,,unknown,,
11,GOOD DAY SOUTHERN AIR EIGHT FIVE ZERO ZERO PRAHA RADAR RADAR CONTACT CLIMB TO FLIGHT LEVEL ONE SIX ZERO,DAYSOUTHERNAIR8500,,160.0,climb,controller,,
12,KILO AND LIMA,,,,,unknown,,
13,ROGER DESCENDING FLIGHT LEVEL ONE THREE ZERO,,,130.0,descend,pilot,,
14,CSA SIX THREE FOUR TURN RIGHT PROCEED DIRECT TO RAPET,CSA634,,,turn,controller,,
15,GERMANWINGS THREE ONE ALPHA PRAHA GOOD EVENING RADAR CONTACT DESCEND TO FLIGHT LEVEL THREE TWO ZERO,TO320,,320.0,descend,controller,,
16,SWISS ONE TWO FOUR BRAVO EXPEDITE REDUCING SPEED TO ONE SIXTY TURN LEFT HEADING THREE THREE ZERO CLEARED ILS THREE ONE REPORT WHEN ESTABLISHED,REDUCINGSPEEDTO160,330.0,,turn,pilot,,
17,LINE UP RUNWAY ONE THREE CSA NINER SEVEN FOUR,LINEUPRUNWAY13,,,climb,controller,,
18,LOT THREE SIX ONE WHEN READY DESCEND FLIGHT LEVEL TWO FIVE ZERO CROSS KOLAD AT LEVEL,LOT361,,250.0,descend,pilot,,
19,PRAHA TOWER GOOD MORNING LUFTHANSA FIVE MIKE ECHO,GOODMORNINGLUFTHANSA5,,,,unknown,,
20,FOR DEPARTURE,,,,takeoff,controller,,
21,THANK YOU SUNTURK,,,,,unknown,,
22,LEVEL THREE THREE ZERO AUSTRIAN THREE TWO THREE GOLF,AUSTRIAN323,,330.0,,unknown,,
