sample_id,transcript,callsign,heading,flight_level,command,speaker,message_type,airline
0,PRAGA RADAR HELLO AEROFLOT TWO EIGHT FIVE APPROACHING TUSIN FLIGHT LEVEL TWO FOUR ZERO,AEROFLOT285,,240.0,,unknown,report,Aeroflot
1,THREE TWO ZERO SIX FIVE TURKISH ONE FIVE TWO SEVEN,TURKISH1527,,,,unknown,other,Turkish Airlines
2,ROGER,,,,,pilot,acknowledgment,
3,WITH YOU WE GOT THE INFORMATION ROMEO ON BOARD,,,,,pilot,other,
4,LUFTHANSA,,,,,unknown,other,
5,ONE THREE FOUR DECIMAL FOUR SEVEN FIVE SUNTURK EIGHT FOUR FOUR THANK YOU,DECIMAL475,,,,unknown,other,
6,HOTEL ECHO XRAY DOWNWIND TWO FIVE FOR TOUCH AND GO,DOWNWIND25,,,land,controller,other,
7,CSA FIVE THREE SIX REACHING,CSA536,,,,controller,report,Czech Airlines
8,ZERO TO GOSEK,,,,,unknown,other,
9,ZULU ONE FOUR ONE TRANSITION CLIMB INITIALLY FIVE THOUSAND FEET SQUAWK TWO SEVEN SIX ZERO,INITIALLY5,,,climb,controller,clearance,
10,TWO ZERO ZERO KNOTS OR LESS ONE SEVEN EIGHT TWO,LESS1782,,,,unknown,other,
11,GOOD DAY SOUTHERN AIR EIGHT FIVE ZERO ZERO PRAHA RADAR RADAR CONTACT CLIMB TO FLIGHT LEVEL ONE SIX ZERO,AIR8500,,160.0,climb,controller,clearance,
12,KILO AND LIMA,,,,,unknown,other,
13,ROGER DESCENDING FLIGHT LEVEL ONE THREE ZERO,,,130.0,descend,pilot,acknowledgment,
14,CSA SIX THREE FOUR TURN RIGHT PROCEED DIRECT TO RAPET,CSA634,,,turn,controller,clearance,Czech Airlines
15,GERMANWINGS THREE ONE ALPHA PRAHA GOOD EVENING RADAR CONTACT DESCEND TO FLIGHT LEVEL THREE TWO ZERO,TO320,,320.0,descend,controller,clearance,
16,SWISS ONE TWO FOUR BRAVO EXPEDITE REDUCING SPEED TO ONE SIXTY TURN LEFT HEADING THREE THREE ZERO CLEARED ILS THREE ONE REPORT WHEN ESTABLISHED,SWISS124,330.0,,turn,pilot,clearance,Swiss International Air Lines
17,LINE UP RUNWAY ONE THREE CSA NINER SEVEN FOUR,CSA974,,,climb,controller,other,Czech Airlines
18,LOT THREE SIX ONE WHEN READY DESCEND FLIGHT LEVEL TWO FIVE ZERO CROSS KOLAD AT LEVEL,LOT361,,250.0,descend,pilot,clearance,LOT Polish Airlines
19,PRAHA TOWER GOOD MORNING LUFTHANSA FIVE MIKE ECHO,LUFTHANSA5,,,,unknown,other,Lufthansa
20,FOR DEPARTURE,,,,takeoff,controller,other,
21,THANK YOU SUNTURK,,,,,unknown,other,
22,LEVEL THREE THREE ZERO AUSTRIAN THREE TWO THREE GOLF,AUSTRIAN323,,330.0,,unknown,report,Austrian Airlines
23,ON PRESENT HEADING DESCENDING FOUR THOUSAND FEET QNH ONE ZERO ONE EIGHT CSA SIX ONE NINER,CSA619,,,descend,pilot,readback,Czech Airlines
24,OK FLIGHT LEVEL,,,,,unknown,report,
25,HELICOPTER HELI VICTOR OSCAR GOOD AFTERNOON,,,,,unknown,other,
26,AIR BERLIN FIVE FOUR THREE ECHO CONTACT PRAHA ONE TWO SEVEN DECIMAL ONE TWO FIVE GOOD BYE,DECIMAL125,,,,unknown,handoff,
27,AFTER APPROACH CLIMB STRAIGHT AHEAD FOUR THOUSAND FEET OSCAR KILO MIKE CHARLIE CHARLIE,AHEAD4,,,climb,controller,clearance,
28,EASY FIVE FOUR NINER SEVEN TURN RIGHT HEADING ONE ZERO ZERO CLEARED ILS APPROACH RUNWAY ONE THREE RIGHT HEADING ONE ZERO ZERO CLEARED THE ILS ONE THREE,EASY5497,100.0,,turn,controller,clearance,easyJet
29,FOUR SIX ZERO FLIGHT LEVEL THREE THREE ZERO THREE ONE ZERO,,,330.0,,unknown,report,
30,BY A LEFT TURN TO HEADING,,,,turn,controller,clearance,
31,CLEARED TO LAND RUNWAY ONE FOUR AND VACATE AT OWN DISCRETION LEGEND ONE TWO ZERO TWO,RUNWAY14,,,land,controller,clearance,
32,ROGER COPIED,,,,,pilot,acknowledgment,
33,GERMANWINGS THREE ONE ZERO ONE THREE FOUR DECIMAL FOUR SEVEN FIVE GOOD BYE,DECIMAL475,,,,unknown,other,
34,SPEEDBIRD EIGHT SIX ONE,SPEEDBIRD861,,,,controller,other,British Airways
35,LUFTHANSA ONE UNIFORM XRAY CLIMB FLIGHT LEVEL THREE FOUR ZERO,LUFTHANSA1,,340.0,climb,controller,clearance,Lufthansa
36,PRESENT HEADING DESCEND TO ALTITUDE FOUR THOUSAND FEET QNH ONE ZERO ONE EIGHT CSA NINER ZERO FIVE,CSA905,,,descend,controller,clearance,Czech Airlines
37,BREAK BREAK TWINSTAR EIGHT EIGHT SEVEN TURN RIGHT HEADING TWO EIGHT ZERO INTERCEPT LOCALIZER RUNWAY THREE ONE,TWINSTAR887,280.0,,turn,controller,clearance,
38,READY CSA SEVEN EIGHT EIGHT,CSA788,,,,pilot,other,Czech Airlines
39,BELOW FLIGHT LEVEL NINER FIVE CLASS ECHO AIRSPACE DO YOU ACCEPT,BELOW95,,95.0,,controller,report,
40,TIMEAIR SIX ONE TWO PAPA REDUCE SPEED ONE SIX ZERO KNOTS TILL FOUR MILES FINAL WE ARE REDUCING TIMEAIR SIX,TIMEAIR612,,,land,controller,other,
41,LOT THREE SEVEN MIKE DESCEND TO FLIGHT LEVEL ONE FIVE ZERO,LOT37,,150.0,descend,controller,clearance,LOT Polish Airlines
42,ROGER MAINTAIN STANDARD ROUTING AND WE WILL TRY TO CHECK IT WITH NEXT SECTOR OK GREAT THANK YOU,,,,maintain,pilot,acknowledgment,
43,GERMANWINGS TWO ONE FOUR ONE CONTACT MUNICH ONE THREE TWO DECIMAL ONE FIVE FIVE BYE,DECIMAL155,,,,unknown,handoff,
