transcript,callsign,heading,flight_level,command,speaker,event,traffic_callsign
HOTEL HOTEL BRAVO THANK YOU,,,,,unknown,,
DIRECT RATEV LUFTHANSA EIGHT MIKE MIKE THANK YOU,DIRECTRATEVLUFTHANSA8,,,,unknown,,
GOOD MORNING BREAK SHAMROCK SIX FOUR FIVE NOW LINE UP RUNWAY THREE ONE AND CLEARED FOR TAKEOFF WIND ONE TWO ZERO DEGREES FIVE KNOTS,MORNINGBREAKSHAMROCK645,,,climb,controller,,
DIRECT RAPET,,,,,unknown,,
ROGER STANDBY,,,,,pilot,,
PROCEEDING DIRECT TO LYSS HOTEL OSCAR YANKEE AND LOOKING OUT FOR HELICOPTER NEAR INSELSPITAL,,,,,unknown,,
PRAHA RADAR GOOD MORNING OSCAR ECHO GOLF FOXTROT FOXTROT CLIMBING FLIGHT LEVEL THREE ONE ZERO INBOUND ROMEO ALPHA,,,310.0,climb,pilot,,
NUMBER ONE GOLF BRAVO,NUMBER1,,,,controller,,
LOT FIVE TWO FIVE TURN LEFT HEADING ONE SIX ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE SPEED ONE SEVEN ZERO,RUNWAY13,160.0,,turn,controller,,
WE HAVE THE TRAFFIC IN SIGHT NAV CHECKER FIVE ONE ONE,SIGHTNAVCHECKER511,,,,unknown,,
TURKISH ONE SEVEN SIX EIGHT CONTACT PRAHA ONE THREE THREE DECIMAL FOUR ONE ZERO GOOD BYE,TURKISH1768,,,,controller,,
CONTACT PRAHA ONE THREE THREE DECIMAL THREE NINER ZERO GOOD BYE,DECIMAL390,,,,unknown,,
RUNWAY TWO FIVE CLEARED TOUCH AND GO,RUNWAY25,,,,controller,,
KLM ONE EIGHT FOUR SIX PASSING LEVEL THREE ONE ZERO,KLM1846,,310.0,,pilot,,
SORRY THREE ONE ZERO IS MAXIMUM I CAN OFFER YOU NOW,SORRY310,,,,controller,,
REDUCING SPEED TWO ZERO ZERO AUSTRIAN SEVEN ZERO SEVEN PAPA,REDUCINGSPEED200,,,,unknown,,
PRAHA APPROACH GOOD MORNING NOR SHUTTLE THREE FIVE EIGHT ZERO FLIGHT LEVEL ONE EIGHT ZERO DESCENDING FLIGHT LEVEL ONE SEVEN ZERO,MORNINGNORSHUTTLE3580,,180.0,descend,pilot,,
RHEIN ONE THREE THREE EIGHT SIX ZERO MARTINAIR ZERO NINER SIX GOOD BYE,MARTINAIR96,,,,unknown,,
DECIMAL,,,,,unknown,,
EMIRATES ONE THREE NINER DESCEND FOUR THOUSAND FEET QNH ONE ZERO TWO ONE CLEARED ILS APPROACH RUNWAY THREE ONE,THOUSANDFEETQNH1021,,,descend,controller,,
